group,n,RAD51_mean,RAD51_sd,TP53_mean,TP53_sd
WGD-,355,4.4216562266051,0.8645766352729158,0.5460789138669907,0.6067725301366854
WGD+,994,4.207860198075317,0.8618025418189956,0.2523650854445721,0.4441092690259514
