Unnamed: 0,MSIScore,Ploidy,LoHFraction,WGD,CIN,Aneuploidy
PR-YJBstR,2.05,2.35714439019927,0.075735661422011,0.0,0.297226477878282,12.0
PR-8HSgmJ,24.26,2.17487521112355,0.0395293281996886,0.0,0.140089173494797,4.0
PR-6pJTKH,2.75,2.12526459294349,0.0454866939479962,0.0,0.102316931673058,4.0
PR-ODzNZa,6.57,2.24926672717938,0.182990774204078,0.0,0.296554437581981,3.0
PR-zrjzDr,3.04,2.17641227397993,0.13982119148467,0.0,0.265755712641435,7.0
PR-AAAPDO,3.61,2.0553950822305,0.0625585827210812,0.0,0.116893945543372,1.0
PR-JyiOtL,2.39,2.20343893240027,0.129334206380234,0.0,0.330119577801104,11.0
PR-V5ECBf,1.66,2.117887821408,0.0259319241079364,0.0,0.0315659707263022,0.0
PR-711hbz,2.24,2.16715269689019,0.181544413276791,0.0,0.276740324377258,6.0
PR-kmc4Ev,2.04,2.12297484904552,0.0025856212550272,0.0,0.124187484333629,4.0
PR-3HObZr,1.85,2.3418770979789,0.0936323040293804,0.0,0.305381133679798,9.0
PR-FnbgWC,1.8,2.22533800175425,0.0277074928176218,0.0,0.0887791088353599,2.0
PR-nSOT6p,2.69,2.09078242470777,0.179004919968263,0.0,0.272129654327155,7.0
PR-MjJjJT,2.36,2.05460071204095,0.0617762107930783,0.0,0.112481604793776,2.0
PR-2guO1R,2.99,2.30273791270726,0.133516395478256,0.0,0.372342494264311,11.0
PR-kGWDgS,2.23,2.2400170841631,0.0220628044114377,0.0,0.0294735701104378,0.0
PR-Q4CsMv,2.27,2.31531407351201,0.210743738778158,0.0,0.465311447837075,9.0
PR-IW3DXn,2.74,2.24557839351507,0.191883553988306,0.0,0.351171742490757,9.0
PR-KWpKHv,2.13,1.92409233939501,0.290355087195395,0.0,0.414966736287186,10.0
PR-txDXl3,1.13,2.01162107453952,0.458449799555437,0.0,0.603999244133089,13.0
PR-LnyWEs,2.83,2.09818947289987,0.0200016588496805,0.0,0.0348613792914577,0.0
PR-zfFP2G,2.03,2.1621445768863,0.0946751693285426,0.0,0.263140708957039,8.0
PR-lLEXIT,1.64,1.97714092158974,0.111522453082467,0.0,0.145848045464133,3.0
PR-EFsHrO,2.32,2.28339304049803,0.0168026311704312,0.0,0.0247415059923816,0.0
PR-Opwkfg,2.45,2.07575495294193,0.0654660361987391,0.0,0.174171867162398,6.0
PR-sHNnEP,2.28,2.59980774616687,0.0107700996249382,0.0,0.155641091520249,37.0
PR-trzETS,2.49,2.11473069515491,0.0090745444082947,0.0,0.0669271914313988,4.0
PR-aX3Sfy,2.01,2.34423882586817,0.0842750226515509,0.0,0.235836306825851,7.0
PR-u33CrR,2.24,2.12425175462301,0.0506658951529214,0.0,0.192445111936345,6.0
