,MSIScore,Ploidy,LoHFraction,WGD,CIN,Aneuploidy
PR-8VeXZS,2.42,4.08446991620097,0.307452739823512,1.0,0.65212371473357,20.0
PR-hGNA0B,2.01,3.73664784335845,0.0381512283673488,1.0,0.425676076480182,32.0
PR-2kNtFF,1.23,2.27552829601925,0.497954631989559,1.0,0.717964923689289,15.0
PR-STBMsm,2.01,3.33728261577879,0.129340283461395,1.0,0.430795904769242,18.0
PR-wmFTQZ,3.01,3.78596047578659,0.0639536843813679,1.0,0.510852005949824,26.0
PR-V5gLbW,2.97,2.12015834343469,0.0893608118283276,0.0,0.176013837127443,6.0
PR-WjYJ7n,3.59,,,,,
PR-g5QF67,1.68,2.19581300224967,0.0100864319796433,0.0,0.0988730210374257,3.0
PR-TnhbP6,1.07,3.74090601530416,0.0943410772557258,1.0,0.633897668652471,24.0
PR-JZDjEe,1.65,4.90148439159041,0.414761985039333,1.0,0.680998172992205,37.0
PR-UVMHi9,2.18,,,,,
PR-XVtuiY,2.51,2.04364472839038,0.0329920619539237,0.0,0.100237912291079,4.0
PR-poR0GY,1.15,4.01105093756254,0.132904994872094,1.0,0.56773790802214,29.0
PR-OQ5tU2,1.51,2.88698432602105,0.284927824881362,1.0,0.718351695880356,24.0
PR-84shel,1.87,2.18578350571514,0.129832069873412,0.0,0.262884072752915,6.0
PR-XeLdka,0.9,3.72390537562504,0.160076586621383,1.0,0.582935558798247,19.0
PR-0lYTUJ,1.67,2.56528866421652,0.302445372757377,1.0,0.611982995232059,21.0
PR-hqvIZ0,2.15,4.21050668829948,0.339270496369633,1.0,0.613778059643582,32.0
PR-JVQxPE,2.11,2.86660902768339,0.270487207673478,1.0,0.573589861740767,22.0
PR-Vts9ic,2.55,3.41414808524005,0.226931491825378,1.0,0.591801511727955,23.0
PR-hDSicj,1.96,,,,,
PR-fBhmJ1,4.74,3.00483852045438,0.452422787909422,1.0,0.704602271328308,23.0
PR-zlHHKA,1.14,2.67671508080726,0.424323029770183,1.0,0.698782314659735,28.0
PR-AeffkL,2.55,,,,,
PR-5gX5yv,2.0,4.45134042414561,0.207211693013739,1.0,0.713268586124824,29.0
PR-WKuuI6,64.18,2.11797612171895,0.0465711716563944,0.0,0.06113206723497,1.0
PR-sbjG3E,3.19,3.04171972961383,0.307937888820695,1.0,0.559070511445849,17.0
PR-zB9Zze,2.06,2.77191933177297,0.269725197641457,1.0,0.637355052490938,24.0
PR-7LkeqG,2.21,3.53540580235613,0.251380272263816,1.0,0.676734410202754,26.0
PR-LZHDZW,3.97,2.22051007369232,0.0491614063460785,0.0,0.167041105492776,3.0
PR-VLTXhP,2.09,4.27255827381397,0.179049173322296,1.0,0.746113404649275,20.0
PR-uxMCaY,1.43,2.00075972138123,0.0002510925743148,0.0,0.0011167424373056,0.0
PR-QzzYAo,1.01,3.27583039842726,0.204956389339652,1.0,0.738412190330595,27.0
PR-KxrKOR,2.55,,,,,
PR-C12hqa,2.09,2.40139531958221,0.611766360367503,1.0,0.503213962825658,14.0
PR-pIrp51,1.8,2.32099038508597,0.25454139495797,0.0,0.422103747825952,8.0
PR-XkWGDu,1.84,,,,,
PR-xfBhbF,3.39,3.58856709761468,0.224095025936993,1.0,0.765055850976418,26.0
PR-B8MLf4,1.88,,,,,
PR-JJZgHy,1.91,,,,,
PR-Yr8PjQ,3.09,4.23271671515982,0.0993463961736943,1.0,0.729290187909938,23.0
PR-qxp9RO,2.01,2.10344828316753,0.0088481165675147,0.0,0.0144511272906036,0.0
PR-wXb2sj,2.3,2.97387513937622,0.391216659742737,1.0,0.6435606068325,26.0
PR-vMnbB3,0.73,3.36690471306935,0.324133229004299,1.0,0.598691643786455,21.0
PR-Z29WnC,1.1,3.06306703321101,0.274122591962512,1.0,0.519400673066858,18.0
PR-ZgrTvM,1.15,,,,,
PR-Hkabt7,2.06,,,,,
PR-yyBW7y,2.52,2.83857383260874,0.28240570688696,1.0,0.448036363191695,20.0
PR-gjPobh,1.89,3.99242437676638,0.154135979184851,1.0,0.710466452297271,26.0
PR-FPobvq,2.6,4.00350358534344,0.424806498064544,1.0,0.767529499500362,30.0
PR-MedeG1,1.49,4.17886804683472,0.175060801752445,1.0,0.668202771208557,21.0
PR-d145Wa,1.73,,,,,
PR-Ygl5DP,2.75,,,,,
PR-BqUhod,2.02,1.97857185737744,0.101839545252551,0.0,0.168125019450351,6.0
PR-K4GcyS,81.24,,,,,
PR-S7lkMC,2.51,2.01897414136835,0.158654980215182,0.0,0.329386743062717,8.0
PR-BhaMSr,1.67,2.46432189368751,0.398070624601806,1.0,0.706049309217329,20.0
PR-IrKja0,1.34,,,,,
PR-K9Bi2i,2.85,2.14720802474476,0.498301902458606,1.0,0.66810235440175,14.0
PR-nsZxe5,3.28,3.34390918717669,0.459385129099858,1.0,0.754534427270675,21.0
PR-d2uH9W,2.38,2.88578374560761,0.315248662877361,1.0,0.608005081188945,18.0
PR-43Hong,2.06,2.98596651633686,0.579820642658274,1.0,0.611229022891,24.0
PR-jonoJG,2.55,2.09100439999903,0.0675668408283273,0.0,0.198200704525997,8.0
PR-P70lSh,1.85,2.03601155600008,0.112536289797184,0.0,0.17277346833848,9.0
PR-8IdR56,2.75,3.68825418130164,0.326413950122949,1.0,0.734581689683598,27.0
PR-qoc7KB,1.47,3.28290150851459,0.222063011802393,1.0,0.511611107209684,19.0
PR-a0MJ1U,2.03,2.18511664084725,0.0532733223038388,0.0,0.130361209950859,4.0
PR-wyYRyw,2.07,4.93946212754899,0.109548184724771,1.0,0.785066829295773,29.0
PR-w3ptEE,13.59,2.06297005991859,0.0396432335924126,0.0,0.0495182960797265,0.0
PR-tN3aBR,2.57,2.15967524986773,0.0159625918126991,0.0,0.190269574647201,6.0
PR-yDgpga,62.77,,,,,
PR-ufGqTY,4.15,,,,,
PR-WRa9AK,2.57,2.93996686678597,0.42215449385511,1.0,0.755342182142611,22.0
PR-bN9boN,2.48,,,,,
PR-0kBhJF,1.65,1.99710387141242,0.0018718050351318,0.0,0.0020327816181122,0.0
PR-PfPZdy,2.58,2.21465803763157,0.0102534297028727,0.0,0.0956565090835877,4.0
PR-hfq8Sa,2.8,2.222989532982,0.0188701412917483,0.0,0.244820072189148,10.0
PR-RWQgdj,4.17,,,,,
PR-nYYD41,2.26,,,,,
PR-qsaGjs,88.77,,,,,
PR-QIpKET,2.4,2.10436669382491,0.0175609791454443,0.0,0.021580010864251,0.0
PR-KktycR,1.57,1.99872074340514,0.0144263102395637,0.0,0.0146544968319905,0.0
PR-M2cfgE,2.72,3.40825470625317,0.220445679121709,1.0,0.688725410397425,23.0
PR-Nqfp9a,1.07,3.28592800280004,0.217473529043635,1.0,0.536528407391935,20.0
PR-6Sb7kf,3.36,4.77571977543961,0.496616843822787,1.0,0.591790154036472,33.0
PR-bDxA3a,2.04,3.50363779748636,0.289814867901876,1.0,0.765195574806277,26.0
PR-RDbb1o,4.71,2.001553760496,9.55882348515629e-05,0.0,0.0009802090716037,0.0
PR-aF1MTe,1.98,2.47520277196332,0.124581977266415,0.0,0.516953529276318,17.0
PR-qic3LK,0.84,,,,,
PR-xyiBD5,2.73,3.59194024224047,0.222619054235658,1.0,0.601133447539921,24.0
PR-FhsuPc,1.97,3.28128306200097,0.442246468073471,1.0,0.642803073846951,28.0
PR-0EypNA,1.3,3.49225822824286,0.106847652943949,1.0,0.533115968755956,18.0
PR-pYHfy7,1.21,1.99819997173456,0.0139547473860718,0.0,0.0139679435851263,0.0
PR-V1Tfkf,1.61,3.93652853285202,0.325982044371775,1.0,0.69693542612651,25.0
PR-2UB6KF,2.56,2.6485870434964,0.0796896964163876,0.0,0.238686839548818,32.0
PR-WIWH9f,1.55,2.8053953250755,0.257494897749903,1.0,0.5259856707209,18.0
PR-fsqxV3,2.35,4.83624724189381,0.490578963197723,1.0,0.694590923132011,35.0
PR-Rgexy9,2.47,2.17788180261678,0.0811848030545542,0.0,0.245592430074804,6.0
PR-hK64QW,2.28,3.60525996094114,0.111775708229953,1.0,0.624800331952518,24.0
PR-sBaaMQ,1.6,3.02916084998445,0.375162530202515,1.0,0.702412040130965,23.0
PR-i3038K,2.09,1.96247617274707,0.0911164290052369,0.0,0.207568819429108,9.0
PR-IDmG5E,89.35,,,,,
PR-BqenKD,2.05,2.82957608051606,0.33950540899466,1.0,0.493142535026168,19.0
PR-wbX0XD,2.19,,,,,
PR-yEZYvr,1.4,3.09807642693142,0.112616191733335,1.0,0.580333909952572,22.0
PR-4SIGBu,1.2,,,,,
PR-6Bch6P,2.74,3.12937306377643,0.295413826639014,1.0,0.499788648101439,13.0
PR-CbuOaH,3.0,2.10547067778311,0.0958005791609445,0.0,0.229103893153677,7.0
PR-4n1OpK,3.5,,,,,
PR-vZyZVM,2.16,3.14165374281009,0.465267397240422,1.0,0.745446779745314,30.0
PR-JiufD2,2.76,2.91868609605726,0.323928462618069,1.0,0.589951116303745,17.0
PR-s6xfW4,2.31,3.33515166930309,0.183226296931496,1.0,0.465926361274211,20.0
PR-hVRrXM,1.43,3.17008567415169,0.260960840668605,1.0,0.521920307465826,23.0
PR-pz76Ci,0.44,3.77279378266231,0.341390087525572,1.0,0.658236839999398,18.0
PR-MhBq1t,1.79,2.84164318715107,0.496092949208805,1.0,0.667002950653404,22.0
PR-gxuPCo,2.32,2.03424529596828,0.0337711949000221,0.0,0.0882376867386589,2.0
PR-X96ugW,2.14,3.01104603556343,0.252085598186868,1.0,0.447448772474867,17.0
PR-oHIfIc,0.85,,,,,
PR-Nnk8dZ,2.01,,,,,
PR-nYisy2,2.48,,,,,
PR-tVr0u3,2.08,3.17914968564415,0.285920412705711,1.0,0.659912004597963,24.0
PR-KcD8qD,3.84,,,,,
PR-7JCpok,1.81,,,,,
PR-tcGtRs,1.23,2.62232003096575,0.416017620820876,1.0,0.694439025206109,28.0
PR-w9vaqz,0.78,3.20147113377167,0.177828796373704,1.0,0.476432957074356,20.0
PR-eC8Vkw,1.99,3.28007471607349,0.147474729498258,1.0,0.52289733471049,18.0
PR-TsIoQA,2.44,3.25201762448138,0.112440778459057,1.0,0.515292026947045,20.0
PR-xcjpPu,1.97,4.3291777378226,0.107264394948073,1.0,0.759696106646507,26.0
PR-tOPQ2g,2.17,3.84788049014364,0.316628166977497,1.0,0.634225200666128,31.0
PR-Q3PW8k,2.81,,,,,
PR-kRtxhU,2.52,,,,,
PR-Th0Tcz,1.1,3.12951222199072,0.331896334974356,1.0,0.761670183357371,28.0
PR-60ceNo,2.68,2.21082696753582,0.0506876186961454,0.0,0.163666170049978,5.0
PR-EtBUC0,2.56,1.93328584653629,0.254321872129115,0.0,0.312779960936542,9.0
PR-uKy2tK,1.48,3.02242189616613,0.380938727489735,1.0,0.680768196940633,26.0
PR-3PJVFB,3.9,2.11517993829977,0.147085157380854,0.0,0.246068180316891,6.0
PR-LcLyDt,2.3,3.35346436996103,0.169205708154577,1.0,0.476596480774234,17.0
PR-tFOWBW,1.55,4.87615619329108,0.141834206040228,1.0,0.645016963233029,35.0
PR-gtpkTx,3.25,3.78075247797335,0.099139817850544,1.0,0.609371581613822,21.0
PR-WzbTYh,2.04,4.0500318083404,0.36065958655362,1.0,0.782485346398799,20.0
PR-H1MJSv,2.71,4.71775930969931,0.342096684176055,1.0,0.824713242921202,32.0
PR-i13Tf1,1.85,,,,,
PR-YWxy3X,1.11,3.23372759680988,0.153992864060107,1.0,0.386418913531457,15.0
PR-I4hDk0,2.8,1.96523116018761,0.141259330287549,0.0,0.173997818636372,4.0
PR-KfGlp0,1.84,4.45466412569342,0.266171987828682,1.0,0.719186288904245,31.0
PR-U09HEh,1.05,,,,,
PR-Ccrt2l,2.69,,,,,
PR-IHsBhU,2.29,,,,,
PR-5uZoTw,1.43,2.94907201851044,0.361243410943431,1.0,0.599785051108331,24.0
PR-jdOrba,1.1,3.06671895755229,0.463971129705898,1.0,0.556114696910905,28.0
PR-PVzVZB,3.46,3.11043691336313,0.318359106670895,1.0,0.671911760989257,26.0
PR-qriRkB,2.12,3.27063739820647,0.140040358523159,1.0,0.545986568099431,20.0
PR-FSCKC9,55.11,2.77115361130211,0.283468066162924,1.0,0.526305415777389,18.0
PR-lmPNPp,2.34,2.74423367244179,0.423575562743459,1.0,0.661723395663286,28.0
PR-rAi6i6,2.35,1.99944557079728,0.0136508149684892,0.0,0.0140095374091088,0.0
PR-MFYhaf,61.83,1.97199359864931,0.0349102439062755,0.0,0.035851204562944,0.0
PR-Psink8,2.48,,,,,
PR-XxqTX3,4.43,,,,,
PR-iLYNrK,2.08,2.15992525014922,0.0882567937272352,0.0,0.259586963424253,11.0
PR-HyeiHz,2.04,3.12244747513488,0.281168199770615,1.0,0.627886289154839,23.0
PR-6BgR9L,2.3,2.16667641394797,0.245877265958632,0.0,0.293985350517117,2.0
PR-gHfNU1,1.95,3.31393273537429,0.141439094891444,1.0,0.564802957216618,23.0
PR-x5QGJg,1.2,2.3252060996776702,0.0043500986050904,0.0,0.229657966899637,7.0
PR-WqHj2s,3.61,2.00130663182774,0.0132114947576384,0.0,0.014079534062211,0.0
PR-NVbKhU,1.95,2.02976829262728,0.221033453551828,0.0,0.441852638127948,13.0
PR-GSwHU2,1.23,1.7884221269689,0.17043657712918,0.0,0.358468950693595,10.0
PR-mUpcNh,4.46,,,,,
PR-EIrIJl,1.31,3.01545686776942,0.155098092693289,1.0,0.509044826231457,21.0
PR-QnZ5wx,1.02,2.00091519969383,0.000104944792031,0.0,0.0008379238792,0.0
PR-FGHIYf,5.07,3.11851495807552,0.0773206071743989,1.0,0.532568451559494,18.0
PR-reLFPu,1.03,3.70681354115579,0.32513872140938,1.0,0.770369611657667,25.0
PR-N0x0YD,3.03,2.13192778298014,0.504203685333354,1.0,0.671771780680536,14.0
PR-Kaer3I,0.91,2.22278881882011,0.140964612197596,0.0,0.372644657968031,9.0
PR-XmdOWf,8.43,,,,,
PR-uIW9AY,0.91,4.75510583978359,0.292119189670736,1.0,0.802544067582437,36.0
PR-3MGaLM,0.44,3.44863488249089,0.338434207243904,1.0,0.582157169270583,33.0
PR-pAeJPE,0.37,2.0145929603972803,0.0915725579959546,0.0,0.169944973429483,4.0
PR-Xhtv3P,3.33,3.21102928954154,0.125406145099755,1.0,0.507822985080296,19.0
PR-IwcVXa,2.04,2.1189132157512,0.143388725030245,0.0,0.263101450093143,5.0
PR-4ZNNdI,1.94,2.13453834592282,0.152652160585698,0.0,0.291991190245972,8.0
PR-KgoxFX,1.13,4.3211738374071,0.446852705089178,1.0,0.798061919435356,25.0
PR-9UlYsF,49.94,1.9946854920017496,0.0520206280964451,0.0,0.0924703040066711,3.0
PR-XPIRTj,0.84,3.57341856152524,0.219227909749384,1.0,0.73627360908872,25.0
PR-0sb1bx,1.19,,,,,
PR-a1RVFy,0.71,3.2668161697477203,0.289229016371523,1.0,0.616204335263026,21.0
PR-W9yGhh,1.21,4.87644001061367,0.249930795060813,1.0,0.835994412900745,30.0
PR-x8Nct7,2.46,1.9087512649206697,0.266415950244555,0.0,0.394732670725755,13.0
PR-IepkNe,82.79,2.0495646891287698,0.0455085698232017,0.0,0.0891223553757953,2.0
PR-FLrCpF,3.34,,,,,
PR-Tmcdai,2.75,3.3215156859629,0.195795816462262,1.0,0.733978334587065,18.0
PR-oQ48td,4.81,2.88095948360417,0.620745151435206,1.0,0.658486437133177,26.0
PR-xbYmRS,4.08,2.28070962869888,0.0420309220648635,0.0,0.291637715022366,8.0
PR-GOM8AR,2.69,4.13347795349825,0.125427361543347,1.0,0.401055199865624,11.0
PR-wGySam,1.04,2.6537298351868,0.340816962926083,1.0,0.621543016011789,24.0
PR-vk1X9X,1.23,3.28686849345325,0.273001317009136,1.0,0.659839488045441,16.0
PR-hN4fOZ,0.68,2.3082727785984902,0.260932128663166,0.0,0.445211795661474,8.0
PR-HTlWWb,1.15,1.85492940248424,0.288781468117989,0.0,0.420079455598636,9.0
PR-I3wdvK,5.44,3.04122907540276,0.30933108718292,1.0,0.612426167012301,24.0
PR-1ROJWL,0.94,3.4062090035097903,0.290206202533406,1.0,0.598646677311984,23.0
PR-4oRDiG,1.35,2.66146561014943,0.558500791189237,1.0,0.590962568394106,24.0
PR-4ceSCX,1.44,3.61402986628704,0.111216018605136,1.0,0.513559723756801,32.0
PR-6PzjrD,3.04,,,,,
PR-Mgs8Jd,2.03,3.04887997861062,0.256073980817241,1.0,0.474841731904101,17.0
PR-rBr1Ac,3.31,3.0349970350969904,0.267510218074423,1.0,0.553574142378374,19.0
PR-OpUZTs,88.08,3.451760500503509,0.0435548030144733,1.0,0.47961092195445,18.0
PR-7bETuY,5.73,2.19359141578553,0.194096293796683,0.0,0.358507928749557,7.0
PR-5wPoDH,59.8,2.51548215727086,0.617844144273763,1.0,0.458183827347859,30.0
PR-cXw5Th,0.81,2.89086893411334,0.386827667539016,1.0,0.694357028967995,22.0
PR-LQ2181,1.99,3.7603640993885,0.517552554554461,1.0,0.789419808236639,30.0
PR-Kwf0uj,1.31,2.65124035413613,0.515729006038138,1.0,0.716358604774686,25.0
PR-j0WTU4,79.75,,,,,
PR-gCB400,1.19,3.42664959829798,0.145360457518409,1.0,0.507187529379461,15.0
PR-vBFXO4,1.03,2.08916213224859,0.132903729670832,0.0,0.259582797763693,5.0
PR-CgIjIP,0.74,2.0379627832648,0.0025900342645779,0.0,0.0279737167379301,0.0
PR-FLLEIF,1.2,3.03426840311604,0.192195040852777,1.0,0.539722184914985,20.0
PR-TAqZxy,2.02,2.12687612638554,0.325244369836905,0.0,0.569263120718517,13.0
PR-CiXMqx,0.65,3.09841325447274,0.292851603703326,1.0,0.608826689259052,24.0
PR-ZrRaCI,84.22,2.24635682186057,0.0461512707905801,0.0,0.240027939153688,7.0
PR-HRA6lV,3.24,3.74897275909692,0.0574860863138323,1.0,0.595660114469236,20.0
PR-DR1DGB,1.16,3.8769578364424895,0.165592683703615,1.0,0.697292205570392,24.0
PR-DWehDo,1.04,3.25030797871744,0.157306041429877,1.0,0.388963210908645,14.0
PR-kYV614,4.79,2.61794854860584,0.169192261661491,0.0,0.649927494902579,25.0
PR-YhKASl,1.54,2.32006386978669,0.132935968799062,0.0,0.324021514002358,7.0
PR-FoPc2W,3.97,2.98627562510265,0.285450224047371,1.0,0.554582209386257,23.0
PR-68VQ73,0.43,3.10804370923439,0.41290530101199,1.0,0.798942100859531,28.0
PR-hM4hT6,3.65,4.9408301133112005,0.119637227054139,1.0,0.748472209214716,35.0
PR-jtAaQ5,72.12,2.08080086126144,0.0030088261359245,0.0,0.0700454965219471,2.0
PR-48lLTm,3.59,3.40255342708955,0.227986054135033,1.0,0.655111359946402,29.0
PR-6jnXO1,2.42,2.03367202348945,0.0557696473318693,0.0,0.105136491402318,3.0
PR-XdBZqt,1.18,3.2351697383829303,0.201127185533569,1.0,0.572741085292929,21.0
PR-uC8ruN,1.4,2.01760727946608,0.0857446962117986,0.0,0.239079419917484,8.0
PR-sTrH6K,2.27,2.11044813018233,0.140825442626251,0.0,0.279820064071985,9.0
PR-3Qh8qx,0.79,2.02975907127862,0.0052563565529898,0.0,0.0224333558432089,0.0
PR-zwU925,0.66,,,,,
PR-n0eBhD,1.06,2.3489868999107,0.685307273215902,1.0,0.485214761475204,11.0
PR-1I95pE,1.4,2.54937820314154,0.329233426529989,1.0,0.689604742709666,28.0
PR-6vyxQa,1.75,4.3011587033764,0.313748538420888,1.0,0.792128536336766,23.0
PR-NgWPx6,0.93,1.97919206110348,0.129836807489704,0.0,0.229161895367945,7.0
PR-eqyUyf,2.36,2.7726389819286696,0.321199685319279,1.0,0.536741920871419,19.0
PR-kgYJ5d,30.79,2.09979544863918,0.0482795199772241,0.0,0.144029819949373,3.0
PR-0XQ6oe,0.98,2.93677035285337,0.219599615554032,1.0,0.558650412307868,18.0
PR-bjdNXf,1.21,3.18202459548868,0.146369715935638,1.0,0.366284662339999,14.0
PR-3MR99B,2.5,2.15192633777704,0.089177116282211,0.0,0.23344117846216,6.0
PR-KaeQoW,0.41,4.54071655726688,0.0334588258889732,1.0,0.572015531367392,35.0
PR-5vQHpI,3.73,2.0145750862637,0.087899931379599,0.0,0.155481055221115,4.0
PR-bLARMO,0.82,3.55491400313265,0.192543967304603,1.0,0.616995609028416,23.0
PR-YWsnzi,1.59,2.00010532396877,0.0002274249271604,0.0,0.0003324817750817,0.0
PR-lOACG9,3.4,3.95236103185804,0.151288994417278,1.0,0.540834218685434,29.0
PR-RrNtSH,1.42,2.83660030551545,0.345044336147437,1.0,0.656433852997047,15.0
PR-GmFFYV,4.31,4.124658353241871,0.275338991794268,1.0,0.814660019672155,25.0
PR-2zjQBJ,0.76,3.8912217647609504,0.116379205859408,1.0,0.675352983347082,25.0
PR-jvsZI3,0.51,1.92042653423358,0.2085844967732,0.0,0.321849603982994,9.0
PR-hVwjEz,1.48,3.76686435409834,0.153333233436999,1.0,0.677201973338211,25.0
PR-N61LpQ,3.92,2.48826485538353,0.152325697300722,0.0,0.53429820335289,14.0
PR-B0reXl,61.81,3.91737318898721,0.23462311508889,1.0,0.812417878048631,24.0
PR-wqCpUw,3.49,4.14687756743295,0.183095684251214,1.0,0.304370898207074,5.0
PR-JjObZD,1.56,1.9830620884653,0.0413150475278505,0.0,0.0652720958073532,3.0
PR-11IVol,1.04,3.95721407813515,0.278656178649109,1.0,0.682168479327613,24.0
PR-O9KXmv,4.96,4.56707660054586,0.411768272982125,1.0,0.644246707787428,38.0
PR-99DXqR,4.18,,,,,
PR-dQRFAD,1.67,2.85565407658201,0.440682202109626,1.0,0.724177610861446,27.0
PR-ImSfnI,3.01,3.96225304705841,0.0170004575467617,1.0,0.464387162493942,13.0
PR-jPFk8p,0.66,3.4507857812659504,0.227658124968006,1.0,0.63867929830395,24.0
PR-BD4v1E,1.51,2.99766663781633,0.413753579290741,1.0,0.712073991633128,21.0
PR-U5IgY1,1.46,2.6358675565448504,0.395093627525129,1.0,0.693165157762064,25.0
PR-6jk4iH,1.69,3.4760665773296298,0.279557074415817,1.0,0.656242483269769,27.0
PR-AT5o0p,3.04,3.81041698605552,0.581180736056371,1.0,0.432865587349852,16.0
PR-E1lBUf,5.27,,,,,
PR-y1k7Ve,4.51,2.1024982333027,0.0134568394851672,0.0,0.116053893776391,4.0
PR-yY64Z3,1.33,3.45536959246814,0.118629816557504,1.0,0.627146183776385,24.0
PR-bsFLyR,0.69,4.259925795785351,0.404051771115496,1.0,0.651736122173529,34.0
PR-qc2Wdd,0.97,2.04156698740297,0.0013273049695599,0.0,0.026652047403744,0.0
PR-qmEELM,1.02,3.29201086154333,0.380974593257688,1.0,0.650703048714034,17.0
PR-kcqeyj,4.42,2.00019916031172,1.67005754281615e-05,0.0,0.0002471982320533,0.0
PR-kEWjFH,1.11,3.1032597590594304,0.422046759435447,1.0,0.592935869927171,17.0
PR-nO7vwQ,0.66,3.38464337399094,0.298939809492739,1.0,0.657735943684457,20.0
PR-7W600z,1.73,3.44383418103903,0.261139783517077,1.0,0.569332430700406,20.0
PR-1ip1tY,2.09,3.21517918382661,0.397269728222176,1.0,0.648455744558443,18.0
PR-3f91xT,1.0,1.83931050441006,0.259494840895134,0.0,0.355926770866826,14.0
PR-l1KgW6,1.71,2.15608994819354,0.0371587540065984,0.0,0.178877921051569,6.0
PR-m3ZoDr,5.59,2.93239840215428,0.411693135037549,1.0,0.659018129443717,28.0
PR-H0niDs,1.24,2.65271666355302,0.421434381800027,1.0,0.726811427992552,22.0
PR-sZnySk,0.48,2.03983743161457,0.0041853782243498,0.0,0.0267167032768725,0.0
PR-qNfUCg,3.81,4.80167784963042,0.389564089946285,1.0,0.819314997271961,31.0
PR-n9KVQe,1.14,2.6478584083188,0.548618728673081,1.0,0.682620725155845,24.0
PR-qw2Sxc,0.77,2.09522397339488,0.0985156658168619,0.0,0.187627641312832,4.0
PR-kERVrz,1.5,3.00456095764215,0.283213312122207,1.0,0.634744523459263,24.0
PR-FVUD09,1.46,2.0333244203859,0.0045402956072985,0.0,0.0230984324510605,0.0
PR-882Px5,1.98,4.039186296797681,0.097720541963046,1.0,0.615108219759699,21.0
PR-h5NMdB,1.12,4.274257922190451,0.548001910850544,1.0,0.757383046081438,23.0
PR-A6IdPc,1.01,2.86568360434793,0.513711674724385,1.0,0.573970382874068,26.0
PR-blDO6C,1.18,2.16275337270497,0.0457237055470033,0.0,0.12553616432745,3.0
PR-GNbxWa,1.24,3.04565983624308,0.23724095496424,1.0,0.629050840360903,23.0
PR-kFdiwY,4.25,3.57440217541212,0.172573219133922,1.0,0.663448326505116,28.0
PR-3vwKej,4.58,3.800445277734741,0.0236224310429834,1.0,0.620748549544269,19.0
PR-9kNZUy,31.67,1.95089786363104,0.0318464984777405,0.0,0.0526776536205766,2.0
PR-132fPs,1.32,2.9648962361874904,0.307958363586857,1.0,0.667431580964171,22.0
PR-hkuteC,1.59,2.00036307496475,3.38475050124892e-06,0.0,0.0003822632277777,0.0
PR-amOb4F,1.39,2.4746519300199603,0.0890570740690136,0.0,0.430058246884313,13.0
PR-obsFce,4.11,2.69855249976318,0.397776337628449,1.0,0.688618633612433,24.0
PR-mbct9S,1.38,3.04740027921902,0.31295706506276,1.0,0.746204726060556,26.0
PR-uERIsp,3.3,2.0177494530613704,0.0369895685382224,0.0,0.0772709489480497,2.0
PR-44ugos,2.55,4.23132534594812,0.182639038649404,1.0,0.746254666874165,26.0
PR-LLn7YQ,1.32,,,,,
PR-ttXMT7,3.06,2.25210006233855,0.0345325696888412,0.0,0.180311267740313,6.0
PR-zqnXiv,3.59,4.933151804835809,0.0401327605739814,1.0,0.702346355570365,32.0
PR-0P77hD,2.6,3.99549378564659,0.144481068628943,1.0,0.410310102894023,15.0
PR-mEj6Jr,0.79,2.74846724488042,0.426457839581034,1.0,0.724994346083155,22.0
PR-n6wmX5,0.65,2.94155611863735,0.529273056500744,1.0,0.667078605886931,19.0
PR-I7HUTM,0.6,2.07816440917412,0.225152239209567,0.0,0.370060980736474,5.0
PR-QyHIkX,2.77,4.12018052627126,0.0214905936561735,1.0,0.470828344437768,15.0
PR-5qJXb3,1.13,2.87478700349302,0.297965598428047,1.0,0.627858778872546,23.0
PR-Cbj0hG,6.24,3.3210275007884,0.283678730951398,1.0,0.807270734242878,27.0
PR-jcuIuZ,1.24,4.1473261614864505,0.210512399303375,1.0,0.681106066353512,19.0
PR-keaU9c,0.94,,,,,
PR-NxSV8u,1.35,2.6752992492245,0.21466277489122,1.0,0.663266676420216,25.0
PR-N08yNU,1.35,4.72575748651703,0.116487398910552,1.0,0.78637901816615,29.0
PR-sDMrS8,1.06,3.125679140617029,0.927532528930369,1.0,0.601649479917161,20.0
PR-fWBkd2,0.8,3.5567520247649105,0.0355830258478601,1.0,0.510661846845813,27.0
PR-mCDWfb,1.79,2.12225220513962,0.009640671659513,0.0,0.138007861798031,6.0
PR-tp1aPG,1.95,2.22805489590834,0.21168829942127,0.0,0.37056329309598,8.0
PR-Kz3B24,4.58,4.89654410210213,0.145411510242077,1.0,0.687914594779037,26.0
PR-LfrPBd,2.92,2.57234822203051,0.484936438982725,1.0,0.609844711934514,23.0
PR-dRHrfr,82.09,2.0313074219206,0.0030265102484612,0.0,0.0242483751927006,0.0
PR-sMZ5rk,1.77,2.52446579469302,0.340693553739524,1.0,0.692954248492704,25.0
PR-WdDv1i,1.71,4.12673991089839,0.331307542722921,1.0,0.842251234883016,23.0
PR-IkZJPN,0.83,2.87310201449358,0.268784009596822,1.0,0.528730471101036,20.0
PR-WZHiO9,1.53,2.00039521757927,0.0,0.0,0.0004315552921815,0.0
PR-8LENPA,61.4,4.00194526961001,0.0034591851078264,1.0,0.137391229510536,5.0
PR-DOinrY,2.36,3.1411191510846,0.348063533866265,1.0,0.787440293616754,27.0
