,MSIScore,Ploidy,LoHFraction,WGD,CIN,Aneuploidy
PR-PjxhIE,1.06,3.30857456878699,0.156780672710525,1.0,0.376426991814151,14.0
PR-hclMO0,2.49,2.89831455663814,0.347136987147704,1.0,0.592545713287016,14.0
PR-Z2rciA,2.21,2.56520346050773,0.685352736287413,1.0,0.332822594506152,34.0
PR-YkFyBd,2.27,2.3276312964609,0.105114568104579,0.0,0.248935562865297,5.0
PR-DbwlQN,54.66,3.31352295015531,0.0335563361504774,1.0,0.440603063355999,15.0
PR-GSORSG,2.2,,,,,
PR-45qihg,2.58,3.60518950755911,0.393368538353704,1.0,0.652599740831924,27.0
PR-ALq0Yt,2.09,3.20392918055425,0.15159072390408,1.0,0.475204071118305,16.0
PR-gEc0bf,1.27,3.57832470532585,0.323446621121308,1.0,0.524705462033544,19.0
PR-iXXp7w,1.84,4.90358964226854,0.235218392465601,1.0,0.763700376574185,33.0
PR-5Z9nRF,2.2,,,,,
PR-9KlLER,4.77,2.0310492463766,0.0851899672409663,0.0,0.12728809841754,4.0
PR-IoB78f,1.93,4.03008714357572,0.112676160488773,1.0,0.585692754345638,30.0
PR-Yjy61f,2.71,3.37075499713725,0.714156289369698,1.0,0.0820695876555873,4.0
PR-TRx6qN,3.45,2.39995123569698,0.757794877433139,1.0,0.280899120503041,9.0
PR-cB7iUU,2.27,,,,,
PR-dUc5lh,2.3,3.772738676395,0.0574206506839114,1.0,0.636606580030076,24.0
PR-AUf1NQ,2.25,4.73883310370438,0.114799515603351,1.0,0.309155430627734,39.0
PR-wNBi2F,3.94,4.469202862625,0.366741958825718,1.0,0.840944729083091,27.0
PR-FNo80s,3.15,2.34962365493548,0.0641474683424678,0.0,0.166507520167223,4.0
PR-EqdpB5,2.25,4.02285596825737,0.603468386703046,1.0,0.575136505558627,22.0
PR-6yfakc,0.92,4.4640847526213,0.194700496309982,1.0,0.687543127359462,32.0
PR-oKCH5w,0.42,2.90674308060044,0.25808754354338,1.0,0.497971275746134,15.0
