DepMap_ID,p53,RAD51,DepMap_ID_norm,PR_ID_norm,WGD
ACH-000768,0.0555279706096861,4.3045110418099535,ACH-000768,PR-I9KTE7,oui
ACH-000768,0.0555279706096861,4.3045110418099535,ACH-000768,PR-X96UGW,oui
ACH-000769,0.0815974642841112,5.119356177039675,ACH-000769,PR-I6ZJEC,oui
ACH-000769,0.0815974642841112,5.119356177039675,ACH-000769,PR-HN3C6C,oui
ACH-000770,-0.0382710984699159,5.788424707439437,ACH-000770,PR-K7JU73,non
ACH-000770,-0.0382710984699159,5.788424707439437,ACH-000770,PR-TBJUMC,non
ACH-000771,0.0940637217268549,1.1505596765753812,ACH-000771,PR-BFAGWX,non
ACH-000771,0.0940637217268549,1.1505596765753812,ACH-000771,PR-T65SDF,non
ACH-000773,0.5465753684832747,4.129283016944966,ACH-000773,PR-FXJBJL,oui
ACH-000773,0.5465753684832747,4.129283016944966,ACH-000773,PR-FXPF9F,oui
ACH-000775,0.1566383015874623,4.4356285940520905,ACH-000775,PR-XPRCE9,oui
ACH-000776,1.2887284665429588,3.2720231890610485,ACH-000776,PR-KTHVAF,oui
ACH-000777,0.1442711747507258,2.2357270598380583,ACH-000777,PR-O0QJUJ,oui
ACH-000777,0.1442711747507258,2.2357270598380583,ACH-000777,PR-UKNBMH,oui
ACH-000778,0.1283213033213417,4.523561956057013,ACH-000778,PR-UOYRHW,oui
ACH-000778,0.1283213033213417,4.523561956057013,ACH-000778,PR-RGS88K,oui
ACH-000781,0.2096923771708184,4.173926931999809,ACH-000781,PR-QPX3XG,oui
ACH-000781,0.2096923771708184,4.173926931999809,ACH-000781,PR-5GX5YV,oui
ACH-000782,-0.0017586511500055,5.765799923285126,ACH-000782,PR-9KNZUY,non
ACH-000783,0.1496746912893507,5.401220862160216,ACH-000783,PR-XMGG0Q,oui
ACH-000783,0.1496746912893507,5.401220862160216,ACH-000783,PR-MVKYWH,oui
ACH-000784,0.3671583443657215,2.344828496997441,ACH-000784,PR-5NFOUR,oui
ACH-000784,0.3671583443657215,2.344828496997441,ACH-000784,PR-P3DQDP,oui
ACH-000785,-0.0008071768444233,3.782408564927373,ACH-000785,PR-TQEUA5,oui
ACH-000787,-0.1551359410598251,2.8318772411916733,ACH-000787,PR-KEWJFH,oui
ACH-000788,0.0484607758935766,4.087462841250339,ACH-000788,PR-OVKC0B,non
ACH-000790,0.2035008267840317,4.7713574089905615,ACH-000790,PR-GNWJAK,oui
ACH-000791,-0.0531379200706548,5.161887682376894,ACH-000791,PR-DZBLKU,oui
ACH-000792,-0.0255541502282419,4.89287670006069,ACH-000792,PR-NULYQG,oui
ACH-000793,0.0003618548679158,5.148120631123964,ACH-000793,PR-VYZBJ2,oui
ACH-000794,-0.1118517900951813,2.4620523187964327,ACH-000794,PR-7TGHYX,non
ACH-000796,0.0790684254944096,4.125981653854716,ACH-000796,PR-ZYM15A,oui
ACH-000799,0.2816723955509986,4.6293566200796095,ACH-000799,PR-IFJSUO,oui
ACH-000800,0.1149712767671316,4.013462259806563,ACH-000800,PR-88E7XF,oui
ACH-000800,0.1149712767671316,4.013462259806563,ACH-000800,PR-TP3E6V,oui
ACH-000800,0.1149712767671316,4.013462259806563,ACH-000800,PR-ZGS0ZX,oui
ACH-000801,1.4608930774467226,4.706530552538117,ACH-000801,PR-PYVSZX,oui
