DepMap_ID,p53,RAD51,DepMap_ID_norm,PR_ID_norm,WGD
ACH-001172,-0.018218493667449,3.5160151470036647,ACH-001172,PR-0YCTLT,oui
ACH-001183,0.5930267945571491,4.837438714856374,ACH-001183,PR-JYIOTL,non
ACH-001183,0.5930267945571491,4.837438714856374,ACH-001183,PR-OISGNN,oui
ACH-001184,0.3494134007657407,5.855242251454154,ACH-001184,PR-RSZ9ZP,oui
ACH-001192,0.0969811112300004,5.340206179911712,ACH-001192,PR-MD14E2,oui
ACH-001193,0.1734227325254097,4.389566811762726,ACH-001193,PR-DUXLVU,oui
ACH-001193,0.1734227325254097,4.389566811762726,ACH-001193,PR-B0MYQI,non
ACH-001194,-0.0487288148939092,4.327687364176047,ACH-001194,PR-NDKS9R,non
ACH-001196,-0.0536811845715368,5.695715488609975,ACH-001196,PR-FRV9F5,oui
ACH-001196,-0.0536811845715368,5.695715488609975,ACH-001196,PR-GXA7VT,oui
ACH-001197,0.0370644728020573,5.495695162624068,ACH-001197,PR-JAOGPT,non
