group,n,pearson_r,pearson_p,spearman_r,spearman_p
WGD-,355,-0.19799090142467435,0.00017368030787864202,-0.22278328461190036,2.274243447007423e-05
WGD+,994,-0.23282726691804403,1.0561835778130985e-13,-0.13584214715360593,1.7285628780725056e-05
